epoch, error
0, 77242.953125
100, 14152.7216797
200, 11296.1943359
300, 8782.58886719
400, 8042.19287109
500, 7660.09179688
600, 7035.08837891
700, 5405.10888672
800, 6832.82177734
900, 6171.66113281
1000, 5838.30615234
1100, 5632.21777344
1200, 5135.890625
1300, 5650.87744141
1400, 5760.76513672
1500, 5161.30517578
1600, 6069.6328125
1700, 5261.84423828
1800, 5224.92529297
1900, 5357.51904297
2000, 5997.08496094
2100, 4996.60205078
2200, 5177.16503906
2300, 4896.68115234
2400, 5023.84375
2500, 4214.53125
2600, 5021.73242188
2700, 4550.26123047
2800, 4211.50488281
2900, 4638.65722656
3000, 4514.72460938
3100, 4374.265625
3200, 4600.69775391
3300, 4300.54248047
3400, 4635.52246094
3500, 4067.60131836
3600, 5353.37646484
3700, 5198.84570312
3800, 4359.30615234
3900, 3510.03515625
4000, 4404.06445312
4100, 4751.24902344
4200, 3518.41699219
4300, 3682.04785156
4400, 4033.62719727
4500, 4482.89404297
4600, 3713.63818359
4700, 3812.19580078
4800, 3621.29711914
4900, 3861.16186523
5000, 4544.55664062
5100, 4081.1652832
5200, 4873.03955078
5300, 2887.54541016
5400, 4573.98632812
5500, 3508.71484375
5600, 3240.30029297
5700, 3861.52807617
5800, 3333.48779297
5900, 3288.8359375
6000, 3511.53125
6100, 3920.19287109
6200, 3601.18994141
6300, 4111.03271484
6400, 3407.56274414
6500, 3220.70654297
6600, 3387.60498047
6700, 4350.94335938
6800, 3253.12890625
6900, 3760.53930664
7000, 3962.40478516
7100, 3430.64477539
7200, 3057.75268555
7300, 3577.31445312
7400, 3312.59350586
7500, 3273.75097656
7600, 2962.57958984
7700, 4135.17724609
7800, 3661.26098633
7900, 3308.84082031
8000, 3618.29833984
8100, 3206.85180664
8200, 2918.76611328
8300, 4113.78613281
8400, 4551.84765625
8500, 3313.64111328
8600, 2916.78125
8700, 3626.20043945
8800, 3009.4387207
8900, 3298.3215332
9000, 3389.33496094
9100, 4285.15771484
9200, 3292.43725586
9300, 3417.21801758
9400, 3437.72045898
9500, 4146.96630859
9600, 3809.81494141
9700, 2715.01635742
9800, 3608.18994141
9900, 2894.64599609
